               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.079868,            0.040727,            0.037792,             0.21678,             0.63029,             0.27781,            0.065401,            0.078559,            0.029061,            0.037609,           0.0050066,           0.0050066,            0.053307
                  37,            0.078609,            0.038984,            0.037571,             0.26436,             0.51017,              0.3271,              0.0787,            0.071707,            0.031269,            0.037249,           0.0051329,           0.0051329,            0.052033
                  38,            0.075951,             0.04538,            0.037375,             0.31763,             0.35938,              0.2446,            0.047702,            0.078103,            0.030875,            0.037543,           0.0052584,           0.0052584,            0.050758
                  39,            0.078269,            0.042313,            0.036993,             0.34978,              0.5588,             0.38604,            0.096978,            0.074206,            0.031736,            0.037681,           0.0053831,           0.0053831,            0.049483
                  40,            0.076146,            0.043239,            0.036888,             0.35556,             0.52379,             0.38719,             0.12038,            0.071157,            0.030666,            0.037094,           0.0055071,           0.0055071,            0.048207
                  41,            0.075009,            0.039392,              0.0368,             0.37431,             0.59375,             0.44128,            0.095672,            0.072256,            0.031653,              0.0372,           0.0056302,           0.0056302,             0.04693
                  42,            0.073926,            0.042887,             0.03691,               0.299,             0.36803,             0.29787,            0.084017,            0.073678,            0.040444,            0.039353,           0.0057526,           0.0057526,            0.045653
                  43,            0.074589,            0.040095,            0.036495,             0.39347,             0.58893,             0.43209,              0.1279,            0.069579,            0.031179,            0.036715,           0.0058741,           0.0058741,            0.044374
                  44,            0.073816,            0.039989,            0.036612,             0.42239,             0.62262,             0.51528,             0.15447,            0.065786,            0.031555,             0.03656,           0.0059948,           0.0059948,            0.043095
                  45,            0.070827,            0.042263,            0.036569,             0.30578,             0.61458,             0.38541,            0.097943,            0.067799,            0.031992,            0.036268,           0.0061146,           0.0061146,            0.041815
                  46,            0.071682,            0.040726,            0.035839,             0.36716,              0.4169,             0.31873,            0.081461,             0.07577,            0.037129,            0.037245,           0.0062336,           0.0062336,            0.040534
                  47,            0.072473,            0.041398,            0.036214,             0.42399,             0.58654,             0.49473,             0.13733,            0.067184,            0.031959,            0.036431,           0.0063516,           0.0063516,            0.039252
                  48,            0.071119,             0.03971,            0.035289,             0.40472,               0.595,             0.43701,              0.1183,            0.069736,            0.031798,            0.036759,           0.0064687,           0.0064687,            0.037969
                  49,            0.069728,            0.038409,            0.035639,             0.56665,             0.59526,             0.55692,             0.15593,            0.063502,             0.03067,            0.035539,           0.0065849,           0.0065849,            0.036685
                  50,            0.070193,            0.038528,            0.035226,             0.49306,             0.61779,              0.5168,              0.1374,            0.064916,            0.030977,            0.035416,           0.0067001,           0.0067001,              0.0354
                  51,             0.07014,            0.038778,            0.034947,             0.43743,             0.47169,             0.38869,             0.10652,            0.071038,            0.032516,            0.035558,           0.0068144,           0.0068144,            0.034114
                  52,            0.071541,            0.037126,             0.03485,             0.45418,             0.35343,             0.37094,            0.090101,            0.074185,            0.033765,            0.035739,           0.0069277,           0.0069277,            0.032828
                  53,            0.067862,            0.039254,            0.034599,             0.60739,             0.64959,              0.6254,             0.18922,            0.065464,            0.033003,            0.034739,             0.00704,             0.00704,             0.03154
                  54,            0.064884,            0.038594,             0.03398,             0.46012,             0.54521,             0.48114,             0.11387,            0.067466,            0.030495,            0.034929,           0.0071513,           0.0071513,            0.030251
                  55,            0.068337,            0.039326,             0.03455,             0.34066,             0.44589,             0.34408,            0.097361,            0.071866,            0.040744,            0.037255,           0.0072616,           0.0072616,            0.028962
                  56,            0.064738,            0.038751,            0.034204,             0.51789,             0.44166,             0.41573,             0.11942,            0.070484,            0.036978,            0.035503,           0.0073708,           0.0073708,            0.027671
                  57,            0.065052,            0.041015,            0.033589,             0.35385,              0.4931,             0.34483,            0.073372,            0.071723,            0.034916,            0.034237,           0.0074789,           0.0074789,            0.026379
                  58,            0.066358,            0.037164,            0.033524,             0.36727,             0.59044,             0.40705,             0.11135,            0.069325,            0.034968,            0.033995,            0.007586,            0.007586,            0.025086
                  59,            0.069076,             0.03714,            0.033441,             0.39903,             0.46951,             0.33205,            0.073729,               0.075,            0.036564,            0.034535,            0.007692,            0.007692,            0.023792
